Year,Player ID,Player Name,Total Prize Money (Year),Total Prize Money (Overall),% of Total
1999,Freemura,Choi Woo,"$8,831.60 ","$8,831.60 ",100.00%
1999,Kill,"Kim, Dong Ku","$8,610.90 ","$8,610.90 ",100.00%
1999,Immortal,Kurt Shimada,"$7,500.00 ","$15,000.00 ",50.00%
1999,Vorador,Eric Spoor,"$7,500.00 ","$7,500.00 ",100.00%
1999,[B_Blade]Leader,Kim Seon,"$6,722.18 ","$6,722.18 ",100.00%
1999,SSamJang,Lee Seok,"$5,000.00 ","$5,500.00 ",90.91%
1999,BOO,Dave Howell,"$5,000.00 ","$5,000.00 ",100.00%
1999,Sybek,Sebastian Lenart,"$5,000.00 ","$5,000.00 ",100.00%
1999,Gemini,Alex Garcia,"$4,400.00 ","$4,400.00 ",100.00%
1999,Byun,"Byun, Sung Chul","$4,305.45 ","$10,597.57 ",40.63%
1999,RiX,Dan Hammans,"$4,200.00 ","$18,500.00 ",22.70%
1999,Fatal1ty,Johnathan Wendel,"$4,000.00 ","$458,489.23 ",0.87%
1999,손태수,"-, -","$3,444.36 ","$3,444.36 ",100.00%
1999,Makaveli,Victor Cuadra,"$3,000.00 ","$33,300.00 ",9.01%
1999,Moonshine,Ken Yanovsky,"$3,000.00 ","$4,375.00 ",68.57%
1999,BoxeR,"Lim, Yo Hwan","$2,657.22 ","$171,858.91 ",1.55%
1999,Pillars,Christoper Page,"$2,500.00 ","$2,500.00 ",100.00%
1999,Xenon,Harvey Migotti,"$2,000.00 ","$15,289.70 ",13.08%
1999,Unholy,Jason Carlton,"$2,000.00 ","$6,000.00 ",33.33%
1999,Bassy,"Chang, Suk Joon","$1,435.15 ","$5,435.15 ",26.40%
1999,Peace,"Kim, Tae Hoon","$1,435.15 ","$1,435.15 ",100.00%
1999,함상후,"-, -","$1,435.15 ","$1,435.15 ",100.00%
1999,Sector,Scott Evans,"$1,000.00 ","$6,300.00 ",15.87%
1999,Sujoy,Sujoy Roy,"$1,000.00 ","$2,337.46 ",42.78%
1999,Crow,- -,"$1,000.00 ","$1,000.00 ",100.00%
1999,Roqu,- -,"$1,000.00 ","$1,000.00 ",100.00%
1999,Waterboy,- -,"$1,000.00 ","$1,000.00 ",100.00%
1999,)(V)(II)(V)(II,"-, -",$861.09 ,$861.09 ,100.00%
1999,DiGamma,"-, -",$861.09 ,$861.09 ,100.00%
1999,KimMiYuen,"Kim, Mi Yuen",$861.09 ,$861.09 ,100.00%
1999,sploidicius,Greg Hunt,$800.00 ,"$1,100.00 ",72.73%
1999,Timber,Ian Holder,$600.00 ,"$11,600.00 ",5.17%
1999,Bad Habit,Alex Pogozelski,$600.00 ,$600.00 ,100.00%
1999,DeepBlue,David Magro,$600.00 ,$600.00 ,100.00%
1999,Gloucester,Gordon Luk,$600.00 ,$600.00 ,100.00%
1999,Jmaster,Jason Siquig,$600.00 ,$600.00 ,100.00%
1999,Kain-the-feared,Patrick Chapelsky,$600.00 ,$600.00 ,100.00%
1999,SaboTaJ,Eric Manfredi,$600.00 ,$600.00 ,100.00%
1999,taurus,Stephen Chan,$600.00 ,$600.00 ,100.00%
1999,~WarAngel~,Dennis Lee,$600.00 ,$600.00 ,100.00%
1999,Savage,"Choi, Ji Myung",$574.06 ,$574.06 ,100.00%
1999,황보람,"-, -",$574.06 ,$574.06 ,100.00%
1999,jolly,- -,$500.00 ,$800.00 ,62.50%
1999,Maynard,Miguel Bombach,$500.00 ,$800.00 ,62.50%
1999,eVERLAST,Victor Martin,$500.00 ,$650.00 ,76.92%
1999,(5th)Fire,Unknown -,$500.00 ,$500.00 ,100.00%
1999,88fingers,- -,$500.00 ,$500.00 ,100.00%
1999,Chris_Low,Chris Low,$500.00 ,$500.00 ,100.00%
1999,Expo,- -,$500.00 ,$500.00 ,100.00%
1999,Psyduck,- -,$500.00 ,$500.00 ,100.00%
1999,Stratus,- -,$500.00 ,$500.00 ,100.00%
1999,DieharD,George Myshlyayev,$400.00 ,$700.00 ,57.14%
1999,Bane,Tim Santaniello,$400.00 ,$400.00 ,100.00%
